Agency,Bureau,Website,Notes
Tennessee Valley Authority,TVA IT,insightcmaccp.tva.gov,redirect
Tennessee Valley Authority,TVA IT,insightcmsqn.tva.gov,redirect
Department of Commerce,National Telecommunications and Information Administration,internet4all.gov,redirect
Tennessee Valley Authority,TVA IT,iot.tva.gov,redirect
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,irb.nasa.gov,status code
Tennessee Valley Authority,TVA IT,itstandards.tva.gov,redirect
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,jacksonville.jobcorps.gov,status code
National Labor Relations Board,National Labor Relations Board,jcms.nlrb.gov,redirect
Department of Energy,Argonne National Laboratory,jenkins.aps.anl.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,jobcorps.gov,status code
Department of Health and Human Services,National Institutes of Health,jss.ninds.nih.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,keystone.jobcorps.gov,status code
General Services Administration,"GSA, IDI, ECAS II",labs.gsa.gov,redirect
Tennessee Valley Authority,TVA IT,lakeinfo.tva.gov,"redirect,status code"
Department of the Interior,U.S. Geological Survey,landfire.cr.usgs.gov,status code
Department of Justice,Office of Justice Programs ,law101.training.nij.gov,redirect
Department of Energy,Argonne National Laboratory,lcfcrypto.anl.gov,status code
Department of Commerce,USPTO,legacy-assignments.uspto.gov,status code
Department of Defense,Civil Air Patrol HQ,lig.nywg.cap.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,littlerock.jobcorps.gov,status code
Tennessee Valley Authority,TVA IT,lms.tva.gov,redirect
Department of Justice,Federal Bureau of Investigation,login-ndcac.fbi.gov,status code
Tennessee Valley Authority,TVA IT,lt.tva.gov,redirect
Department of Health and Human Services,National Institutes of Health,lymphochip.nih.gov,redirect
Tennessee Valley Authority,TVA IT,m365.tva.gov,redirect
Department of Health and Human Services,Administration for Community Living,ma.acl.gov,status code
Department of Transportation,National Highway Traffic Safety Administration,map.safercar.gov,status code
U.S. Department of Agriculture,National Wildfire Coordinating Group,maps.nwcg.gov,redirect
Department of Energy,Los Alamos National Laboratory,marfa.lanl.gov,status code
Department of Commerce,Minority Business Development Agency,medweek.mbda.gov,status code
National Science Foundation,National Science Foundation,meetings.nsf.gov,redirect
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,mepag.jpl.nasa.gov,status code
Tennessee Valley Authority,TVA IT,mfa.tva.gov,"redirect,status code"
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,miami.jobcorps.gov,status code
Department of Energy,Lawrence Berkeley National Laboratory,microgrids2.lbl.gov,status code
Tennessee Valley Authority,TVA IT,microsoft365.tva.gov,redirect
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,mingo.jobcorps.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,mississippi.jobcorps.gov,status code
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,miul.ndc.nasa.gov,status code
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,mmt.sit.earthdata.nasa.gov,status code
Tennessee Valley Authority,TVA IT,mobile.tva.gov,redirect
Department of Transportation,Department of Transportation,moss.cdan.dot.gov,redirect
Tennessee Valley Authority,TVA IT,msauth.tva.gov,redirect
Tennessee Valley Authority,TVA IT,msteams.tva.gov,redirect
Department of Transportation,Department of Transportation,mtss.cdan.dot.gov,redirect
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,mua.ndc.nasa.gov,status code
Department of State,Bureau of Global Public Affairs (GPA),mv.usmission.gov,redirect
Department of Defense,Navy,mynavyhr.navy.mil,status code
Department of State,Bureau of Global Public Affairs (GPA),mytravel.state.gov,status code
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,myttbaccount.ttb.gov,status code
Office of Personnel Management,OPM Human Resource Solutions,narai.usajobs.gov,status code
Office of Personnel Management,OPM Human Resource Solutions,nasai.usajobs.gov,status code
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,nasatoms.gsfc.nasa.gov,status code
Department of Defense,Office of Warrior Care Policy,nationalresourcedirectory.gov,redirect
Department of Education,Office of Chief Information Officer,nationsreportcard.ed.gov,redirect
Department of Defense,,navalaviationnews.navylive.dodlive.mil,redirect
Department of Defense,Army,ncolcoe.army.mil,status code
Office of Personnel Management,OPM Human Resource Solutions,ncua.usajobs.gov,status code
Department of Energy,Lawrence Berkeley National Laboratory,ndcxii.lbl.gov,status code
Department of Commerce,National Oceanic and Atmospheric Administration,nefsc-publications.fisheries.noaa.gov,status code
Department of Health and Human Services,National Institutes of Health,neidatacommons-demo.cit.nih.gov,status code
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",nessapp.atf.gov,status code
Department of Energy,Oak Ridge National Laboratory,neuromorphic.ornl.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,newhampshire.jobcorps.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,newhaven.jobcorps.gov,status code
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,neworleans.jobcorps.gov,status code
Department of Commerce,National Institute of Standards and Technology,nfiles.nist.gov,redirect
Department of Health and Human Services,National Institutes of Health,nhlbi-casper.nhlbi.nih.gov,status code
Department of Defense,Civil Air Patrol HQ,nhwg.noc.ner.cap.gov,status code
Department of Health and Human Services,National Institutes of Health,niairplgsun.irp.nia.nih.gov,status code
Department of Justice,Federal Bureau of Investigation,nibrs.fbi.gov,status code
Department of Health and Human Services,National Institutes of Health,niehs.nih.gov,status code
Department of Health and Human Services,National Institutes of Health,nindsdirjssext.ninds.nih.gov,status code
Department of Transportation,Department of Transportation,nitscurrent.cdan.dot.gov,redirect
Department of Transportation,Department of Transportation,nitsprev.cdan.dot.gov,redirect
Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,northlands.jobcorps.gov,status code
Department of Commerce,National Oceanic and Atmospheric Administration,nosimagery.chs.coast.noaa.gov,status code
Department of Education,Office of Chief Information Officer,npd-review.naep.ed.gov,redirect
