Website,Agency,Bureau,Subcomponent
tmf.cio.gov,General Services Administration,"GSA, CIO.GOV",
preview-onrr-frontend.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
gsaauctions.gov,General Services Administration,"GSA, IQ-SASy-GSAAuctions",
permits.performance.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
gsaig.gov,General Services Administration,GSA Office of Inspector General,
idmanagement.gov,General Services Administration,"GSA, IC, OGP Web Portfolio",
training.reginfo.gov,General Services Administration,"GSA, IC, ROCIS",
rocis.gov,General Services Administration,"GSA, IC, ROCIS",
fac.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
wits3-public-pricer.eos.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fsrs.gov,General Services Administration,"GSA, IQ-ESRS-FSRS",
sorndashboard.fpc.gov,General Services Administration,"GSA, TTS, Federalist",
fpki.gov,General Services Administration,"GSA, Q-FPKI",
public-sans.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
digitaldashboard.gov,General Services Administration,"GSA, IC, OGP Web Portfolio",
digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
designsystem.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pra.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
accessibility.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
touchpoints.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
v1.designsystem.digital.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
legacy.digitaldashboard.gov,General Services Administration,"GSA, IC, OGP Web Portfolio",
govloans.gov,General Services Administration,Office of the Chief Information Officer,
autoauctions.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
ncr.anywhere.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
cic.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fleetd.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
cpars.cpars.gov,General Services Administration,"GSA, FAS, System for Award Management",
889.smartpay.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
pfabankapi.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
labs.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
autovendor.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
analytics.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
anywhere.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
